DAM_ID,DAM_NAME,STATE,AGENCY_CODE,LONG,LAT,TIME_SERIES_START,TIME_SERIES_END,INCONSISTENCIES_NOTED
774,Baldhill,North Dakota,ACE_STP,-98.079898,47.036297,1951-05-06,2020-12-31,NA
775,Island Lake,Minnesota,MIN,-92.225209,46.992107,2021-01-01,2020-12-31,NA
777,Pipestem Dam,North Dakota,BOR ,-98.751547,46.96493,1974-03-05,2018-12-18,NA
778,Fish Lake,Minnesota,MIN,-92.276042,46.9555,2021-01-01,2020-12-31,NA
780,Jamestown,North Dakota,BOR,-98.709425,46.932526,1954-02-01,2018-12-18,NA
784,Dickinson,North Dakota,BOR,-102.828566,46.867223,1952-05-12,2018-12-18,NA
789,Sandy Lake Dam and Lock,Minnesota,ACE_STP,-93.321528,46.783615,2019-06-26,2020-07-04,NA
792,Pine River Dam,Minnesota,ACE_STP,-94.112119,46.670135,1995-09-01,2020-07-03,NA
798,Heart Butte Dike,North Dakota,BOR,-101.812192,46.596531,1949-10-05,2018-12-18,NA
806,Gull Lake,Minnesota,ACE_STP,-94.358021,46.414653,1930-01-01,2020-07-05,NA
827,Bowman-Haley,North Dakota,ACE_OMA,-103.248588,45.9813,1967-03-03,2019-10-01,NA
830,Chippewa Reservoir,Wisconsin,ACE_STP,-91.071875,45.891129,1965-01-04,2020-07-05,NA
836,Browns Valley Dike,Minnesota,DUKE,-96.639471,45.767747,1942-04-01,2013-08-28,NA
837,Shadehill Dike 1,South Dakota,BOR,-102.203155,45.751107,1952-04-01,2017-12-19,NA
854,Highway 75 Dam,Minnesota,DUKE,-96.291375,45.23921,1983-10-01,2013-08-28,NA
858,Marsh Lake Dam,Minnesota,ACE_STP,-96.091121,45.174204,1940-03-28,2020-07-05,NA
861,Lac Qui Parle Dam,Minnesota,ACE_STP,-95.874081,45.02737,1940-03-15,2020-12-31,NA
868,Belle Fourche,South Dakota,BOR,-103.677318,44.735438,1977-10-01,2018-12-18,NA
870,Oahe Dam,South Dakota,ACE_OMA,-100.39797,44.456316,1967-01-02,2019-10-01,NA
872,Keyhole,Wyoming,BOR,-104.78125,44.379972,1952-04-01,2018-12-18,NA
882,Pactola,South Dakota,BOR ,-103.490625,44.072917,1956-08-22,2018-12-18,NA
884,Big Bend Dam,South Dakota,ACE_OMA,-99.448646,44.039785,1963-08-01,2019-10-01,NA
885,Deerfield,South Dakota,BOR,-103.786348,44.027173,1953-04-01,2018-12-18,NA
893,Angostura,South Dakota,BOR,-103.435489,43.342073,1952-04-01,2018-12-18,NA
895,Gavins Point Dam,South Dakota,ACE_OMA,-97.483244,42.850337,1955-08-01,2019-10-01,NA
897,Merritt,Nebraska,BOR,-100.872917,42.631243,1993-05-31,2020-05-05,NA
898,Glendo,Wyoming,BOR,-104.953299,42.48023,1957-10-17,2018-12-18,NA
899,Box Butte,Nebraska,BOR,-103.077233,42.460003,1991-10-31,2020-05-05,NA
901,Guernsey,Wyoming,BOR,-104.766214,42.289933,1999-09-10,2020-05-05,NA
903,Lake Alice 1,Nebraska,BOR ,-103.625454,41.992166,1990-04-21,2018-12-18,NA
904,Minatare,Nebraska,BOR,-103.493827,41.91949,1990-09-30,2018-12-18,NA
905,Calamus Dam,Nebraska,BOR,-99.210417,41.835725,1993-05-31,2020-05-05,NA
907,Coralville Dam,Iowa,ACE_ROCK,-91.531121,41.727526,1958-01-01,2020-12-31,NA
908,Hawk Springs,Wyoming,WSE,-104.193569,41.714582,1985-01-28,2016-09-30,NA
910,Davis Creek Dam,Nebraska,BOR,-98.74837,41.416301,1993-01-31,2020-05-05,NA
911,Red Rock Dam,Iowa,ACE_ROCK,-92.982345,41.369935,1969-03-20,2020-12-31,NA
913,Kingsley,Nebraska,CNPPID,-101.67338,41.214586,1942-01-01,2020-07-21,NA
919,Branched Oak Dam,Nebraska,ACE_OMA,-96.853979,40.970589,1969-04-02,2019-10-01,NA
920,Jeffrey Reg Dam,Nebraska,CNPPID,-100.403511,40.958721,1942-01-01,2020-07-21,NA
924,Rathbun Dam,Iowa,ACE_KAN,-92.881377,40.831517,1967-09-28,2020-12-31,NA
929,Johnson Lake Dam,Nebraska,CNPPID,-99.843679,40.677414,1964-01-01,NA,NA
931,Elwood Dam,Nebraska,CNPPID,-99.853071,40.634268,1998-06-21,2020-07-21,NA
936,Enders,Nebraska,BOR,-101.51979,40.422802,1950-10-23,2018-12-18,NA
938,Medicine Creek,Nebraska,BOR,-100.219447,40.378902,1949-12-04,2018-12-18,NA
939,Red Willow,Nebraska,BOR,-100.666251,40.360837,1962-10-01,2018-12-18,NA
947,Trenton,Nebraska,BOR,-101.065857,40.168713,2010-01-01,2018-12-18,NA
948,Harlan County Dam,Nebraska,BOR,-99.21467,40.072869,1992-10-04,2018-12-18,NA
952,Lovewell,Kansas,BOR,-98.028963,39.886843,1976-01-01,2018-12-18,NA
